UDDID,Year,Quarter,Loc,CARB,CO2_ENERGY,WPO
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2000,1,CAN,36.91962,126975.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2000,2,CAN,37.13189,127784.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2000,3,CAN,37.22245,128174.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2000,4,CAN,37.19133,128144,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2001,1,CAN,36.43015,125665.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2001,2,CAN,36.39897,125606.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2001,3,CAN,36.48944,125939.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2001,4,CAN,36.70156,126664.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2002,1,CAN,37.33741,128682.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2002,2,CAN,37.67199,129829.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2002,3,CAN,38.00739,131008.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2002,4,CAN,38.34361,132219.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2003,1,CAN,39.04259,134917,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2003,2,CAN,39.23565,135607.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2003,3,CAN,39.28476,135746,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2003,4,CAN,39.1899,135333.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2004,1,CAN,38.21479,131559.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2004,2,CAN,38.12652,131168.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2004,3,CAN,38.1888,131350.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2004,4,CAN,38.40164,132105.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2005,1,CAN,39.44974,136033.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2005,2,CAN,39.6898,136895,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2005,3,CAN,39.80653,137289.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2005,4,CAN,39.79992,137216.7,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2006,1,CAN,39.06281,134384.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2006,2,CAN,39.0524,134294.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2006,3,CAN,39.16153,134655.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2006,4,CAN,39.3902,135467,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2007,1,CAN,40.46266,139378.7,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2007,2,CAN,40.6407,140030.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2007,3,CAN,40.64857,140072.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2007,4,CAN,40.48628,139504.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2008,1,CAN,39.87106,137123.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2008,2,CAN,39.48155,135817.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2008,3,CAN,39.03497,134382,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2008,4,CAN,38.53133,132817.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2009,1,CAN,37.26708,129031.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2009,2,CAN,36.93075,128047.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2009,3,CAN,36.81878,127771.7,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2009,4,CAN,36.93117,128204.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2010,1,CAN,37.88686,131319.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2010,2,CAN,38.2004,132380.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2010,3,CAN,38.49073,133362.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2010,4,CAN,38.75784,134263.8,
