forecast_cycle,forecast_period,months_ahead,scenario,feature_1_data_center_committed_mw,feature_2_grid_connection_probability_pct,feature_3_power_price_index,feature_4_avg_temperature_c,feature_5_cooling_efficiency_pue,feature_6_industrial_growth_index,feature_7_renewable_availability_pct,target_1_total_load_mwh
Mar-26,Jan-27,10,uncertain_connection,123.48,44.57,101.27,-6.18,1.316,100.01,34.39,129100.41
Mar-26,Feb-27,11,uncertain_connection,119.79,62.19,103.91,1.87,1.347,100.17,32.67,148264.35
Mar-26,Mar-27,12,uncertain_connection,117.77,54.77,108.4,8.21,1.318,100.41,33.44,139719.01
Mar-26,Apr-27,13,uncertain_connection,124.3,61.84,107.07,15.29,1.32,100.33,29.45,152078.51
Mar-26,May-27,14,uncertain_connection,136.66,63.76,107.34,20.88,1.333,100.82,32.33,164778.52
Mar-26,Jun-27,15,uncertain_connection,138.29,61.47,110.3,21.69,1.361,100.68,25.41,167334.86
Mar-26,Jul-27,16,uncertain_connection,142.1,59.9,108.76,17.73,1.31,100.25,27.39,160955.92
Mar-26,Aug-27,17,uncertain_connection,150.83,54.18,107.45,14.1,1.315,100.99,25.38,160732.64
Mar-26,Sep-27,18,uncertain_connection,153.26,51.33,104.6,8.25,1.329,101.29,25.62,154402.59
Mar-26,Oct-27,19,uncertain_connection,163.88,48.62,102.24,1.15,1.306,100.98,26.72,155746.64
Mar-26,Nov-27,20,uncertain_connection,160.9,42.75,102.22,-4.65,1.325,101.18,30.94,144008.35
Mar-26,Dec-27,21,uncertain_connection,170.96,51.93,101.19,-4.85,1.326,101.37,37.39,165047.76
Mar-26,Jan-28,22,uncertain_connection,169.23,47.76,101.49,-4.29,1.31,101.23,38.38,153979.73
Mar-26,Feb-28,23,uncertain_connection,173.68,60.32,99.71,2.23,1.331,102.28,37.86,179709.62
Mar-26,Mar-28,24,uncertain_connection,179.2,65.52,100,7.56,1.323,101.51,40,191548.62
Mar-26,Apr-28,25,uncertain_connection,186.12,65.01,101.21,12.63,1.32,102.05,36.46,199190.87
Mar-26,May-28,26,accelerated_ai_load,182.23,73.35,100.53,18.66,1.331,101.18,36.1,214373.5
Mar-26,Jun-28,27,accelerated_ai_load,187.51,74.49,104.15,22.39,1.349,101.98,31.69,219835.06
Mar-26,Jul-28,28,accelerated_ai_load,204.38,72.59,106.3,18.99,1.323,102.49,29.95,225428.23
Mar-26,Aug-28,29,accelerated_ai_load,201.58,82.52,105.93,14.4,1.307,102.45,30.82,239707.09
Mar-26,Sep-28,30,accelerated_ai_load,195.33,72.68,110.82,9.17,1.32,102.25,30.18,215320.66
Mar-26,Oct-28,31,uncertain_connection,213.53,68.03,111.04,1.23,1.333,102.21,37.03,220225.08
Mar-26,Nov-28,32,uncertain_connection,218.99,70.46,111.12,-0.96,1.32,101.83,34.37,226832.7
Mar-26,Dec-28,33,uncertain_connection,213.67,65.23,112.92,-5.06,1.328,102.96,42.78,213107.06
Mar-26,Jan-29,34,uncertain_connection,223.48,70.71,110.69,-4.81,1.323,102.71,42.15,232757.55
Mar-26,Feb-29,35,uncertain_connection,231.06,61.3,109.44,1.48,1.315,103.23,45.04,216474.88
Mar-26,Mar-29,36,uncertain_connection,231.71,70.46,109.76,7.85,1.319,102.68,42.31,238536.13
Mar-26,Apr-29,37,uncertain_connection,234.95,67.79,109.92,13.47,1.326,103.75,42.5,237127.47
Mar-26,May-29,38,accelerated_ai_load,236.65,80.02,106.2,19.69,1.326,103.64,43.15,270451.33
Mar-26,Jun-29,39,accelerated_ai_load,245.42,76.65,105.51,21.19,1.333,103.46,35.15,270289.97
Mar-26,Jul-29,40,accelerated_ai_load,244.65,84.18,102.96,19.13,1.323,103.89,38.84,284469.02
Mar-26,Aug-29,41,accelerated_ai_load,256.54,87.19,104.26,14.06,1.313,104.41,34.66,299432.38
Mar-26,Sep-29,42,accelerated_ai_load,255.29,87.76,103.86,8.8,1.341,104.5,35.46,303354.82
Mar-26,Oct-29,43,accelerated_ai_load,264.14,94.16,105.3,1.88,1.323,104.14,35.27,321880.18
Mar-26,Nov-29,44,accelerated_ai_load,264.49,84.07,107.86,-4.34,1.312,103.97,37.53,294375.14
Mar-26,Dec-29,45,accelerated_ai_load,264.27,86.38,107.25,-3.73,1.32,104.17,40.89,299199.99
Jun-26,Jan-27,7,uncertain_connection,139.3,53.86,104.54,-4.72,1.314,100.29,33.73,146933
Jun-26,Feb-27,8,uncertain_connection,143.01,58.49,106.89,1.15,1.318,100.21,32.66,154464.38
Jun-26,Mar-27,9,uncertain_connection,157.37,63.17,109.09,9.12,1.327,100.17,32,171672.7
Jun-26,Apr-27,10,uncertain_connection,161.42,71.79,109.07,14.19,1.329,100.5,35.6,192283.16
Jun-26,May-27,11,uncertain_connection,157.32,66.25,109.73,19.28,1.302,101.31,29.65,181457.13
Jun-26,Jun-27,12,uncertain_connection,164.79,67.32,112.39,20.85,1.334,101.13,30.3,188299.79
Jun-26,Jul-27,13,uncertain_connection,165.21,63.98,109.33,20.28,1.329,101.07,27.54,185987.87
Jun-26,Aug-27,14,uncertain_connection,182.49,59.51,108.76,15.92,1.307,101.45,26.91,184039.95
Jun-26,Sep-27,15,uncertain_connection,176.02,53.57,108.84,7.56,1.319,101.55,27.36,169848.96
Jun-26,Oct-27,16,uncertain_connection,178.17,56.69,104.76,0.49,1.309,101.04,27.39,173376.58
Jun-26,Nov-27,17,uncertain_connection,186.16,54.35,104.76,-2.87,1.344,101.81,28.89,174453.21
Jun-26,Dec-27,18,uncertain_connection,187.27,58.37,103.3,-4.27,1.288,101.87,32.42,177908.56
Jun-26,Jan-28,19,uncertain_connection,198.71,55.09,101.66,-2.6,1.335,102.25,38.78,183675.34
Jun-26,Feb-28,20,uncertain_connection,197.43,61.63,102.15,1.23,1.313,102.01,42,198507.04
Jun-26,Mar-28,21,uncertain_connection,200.6,64.29,101.22,9.6,1.317,102.75,33.58,203605.83
Jun-26,Apr-28,22,uncertain_connection,204.86,66.9,104.27,15.79,1.314,102.19,36.97,213236.45
Jun-26,May-28,23,accelerated_ai_load,202.04,76.13,103.23,21.16,1.323,102.7,36.92,233611.11
