forecast_cycle,forecast_period,months_ahead,scenario,feature_1_data_center_committed_mw,feature_2_grid_connection_probability_pct,feature_3_power_price_index,feature_4_avg_temperature_c,feature_5_cooling_efficiency_pue,feature_6_industrial_growth_index,feature_7_renewable_availability_pct,target_1_total_load_mwh,target_2_peak_load_mw,target_3_synthetic,target_4_synthetic,target_5_synthetic,target_6_synthetic,target_7_synthetic,target_8_synthetic,target_9_synthetic,target_10_synthetic
2026-03,2027-01,10,uncertain_connection,123.48,44.57,101.27,-6.18,1.316,100.01,34.39,129100.41,302.3,129130.41,129140.41,129150.41,129160.41,129170.41,129180.41,129190.41,129200.41
2026-03,2027-02,11,uncertain_connection,119.79,62.19,103.91,1.87,1.347,100.17,32.67,148264.35,333.76,148294.35,148304.35,148314.35,148324.35,148334.35,148344.35,148354.35,148364.35
2026-03,2027-03,12,uncertain_connection,117.77,54.77,108.4,8.21,1.318,100.41,33.44,139719.01,317.96,139749.01,139759.01,139769.01,139779.01,139789.01,139799.01,139809.01,139819.01
2026-03,2027-04,13,uncertain_connection,124.3,61.84,107.07,15.29,1.32,100.33,29.45,152078.51,346.91,152108.51,152118.51,152128.51,152138.51,152148.51,152158.51,152168.51,152178.51
2026-03,2027-05,14,uncertain_connection,136.66,63.76,107.34,20.88,1.333,100.82,32.33,164778.52,371.98,164808.52,164818.52,164828.52,164838.52,164848.52,164858.52,164868.52,164878.52
2026-03,2027-06,15,uncertain_connection,138.29,61.47,110.3,21.69,1.361,100.68,25.41,167334.86,382.13,167364.86,167374.86,167384.86,167394.86,167404.86,167414.86,167424.86,167434.86
2026-03,2027-07,16,uncertain_connection,142.1,59.9,108.76,17.73,1.31,100.25,27.39,160955.92,370.1,160985.92,160995.92,161005.92,161015.92,161025.92,161035.92,161045.92,161055.92
2026-03,2027-08,17,uncertain_connection,150.83,54.18,107.45,14.1,1.315,100.99,25.38,160732.64,364.79,160762.64,160772.64,160782.64,160792.64,160802.64,160812.64,160822.64,160832.64
2026-03,2027-09,18,uncertain_connection,153.26,51.33,104.6,8.25,1.329,101.29,25.62,154402.59,363.23,154432.59,154442.59,154452.59,154462.59,154472.59,154482.59,154492.59,154502.59
2026-03,2027-10,19,uncertain_connection,163.88,48.62,102.24,1.15,1.306,100.98,26.72,155746.64,362.4,155776.64,155786.64,155796.64,155806.64,155816.64,155826.64,155836.64,155846.64
2026-03,2027-11,20,uncertain_connection,160.9,42.75,102.22,-4.65,1.325,101.18,30.94,144008.35,338.03,144038.35,144048.35,144058.35,144068.35,144078.35,144088.35,144098.35,144108.35
2026-03,2027-12,21,uncertain_connection,170.96,51.93,101.19,-4.85,1.326,101.37,37.39,165047.76,380.03,165077.76,165087.76,165097.76,165107.76,165117.76,165127.76,165137.76,165147.76
2026-03,2028-01,22,uncertain_connection,169.23,47.76,101.49,-4.29,1.31,101.23,38.38,153979.73,367.29,154009.73,154019.73,154029.73,154039.73,154049.73,154059.73,154069.73,154079.73
2026-03,2028-02,23,uncertain_connection,173.68,60.32,99.71,2.23,1.331,102.28,37.86,179709.62,411.67,179739.62,179749.62,179759.62,179769.62,179779.62,179789.62,179799.62,179809.62
2026-03,2028-03,24,uncertain_connection,179.2,65.52,100.0,7.56,1.323,101.51,40.0,191548.62,437.1,191578.62,191588.62,191598.62,191608.62,191618.62,191628.62,191638.62,191648.62
2026-03,2028-04,25,uncertain_connection,186.12,65.01,101.21,12.63,1.32,102.05,36.46,199190.87,459.9,199220.87,199230.87,199240.87,199250.87,199260.87,199270.87,199280.87,199290.87
