forecast_cycle,forecast_period,months_ahead,scenario,feature_1_data_center_committed_mw,feature_2_grid_connection_probability_pct,feature_3_power_price_index,feature_4_avg_temperature_c,feature_5_cooling_efficiency_pue,feature_6_industrial_growth_index,feature_7_renewable_availability_pct,target_1_total_load_mwh,target_2_peak_load_mw,target_3_synthetic,target_4_synthetic,target_5_synthetic,target_6_synthetic,target_7_synthetic,target_8_synthetic,target_9_synthetic,target_10_synthetic,target_11_synthetic,target_12_synthetic,target_13_synthetic,target_14_synthetic,target_15_synthetic,target_16_synthetic,target_17_synthetic,target_18_synthetic,target_19_synthetic,target_20_synthetic,target_21_synthetic,target_22_synthetic,target_23_synthetic,target_24_synthetic,target_25_synthetic
2026-03,2027-01,10,uncertain_connection,123.48,44.57,101.27,-6.18,1.316,100.01,34.39,129100.41,302.3,129130.41,129140.41,129150.41,129160.41,129170.41,129180.41,129190.41,129200.41,129210.41,129220.41,129230.41,129240.41,129250.41,129260.41,129270.41,129280.41,129290.41,129300.41,129310.41,129320.41,129330.41,129340.41,129350.41
2026-03,2027-02,11,uncertain_connection,119.79,62.19,103.91,1.87,1.347,100.17,32.67,148264.35,333.76,148294.35,148304.35,148314.35,148324.35,148334.35,148344.35,148354.35,148364.35,148374.35,148384.35,148394.35,148404.35,148414.35,148424.35,148434.35,148444.35,148454.35,148464.35,148474.35,148484.35,148494.35,148504.35,148514.35
2026-03,2027-03,12,uncertain_connection,117.77,54.77,108.4,8.21,1.318,100.41,33.44,139719.01,317.96,139749.01,139759.01,139769.01,139779.01,139789.01,139799.01,139809.01,139819.01,139829.01,139839.01,139849.01,139859.01,139869.01,139879.01,139889.01,139899.01,139909.01,139919.01,139929.01,139939.01,139949.01,139959.01,139969.01
2026-03,2027-04,13,uncertain_connection,124.3,61.84,107.07,15.29,1.32,100.33,29.45,152078.51,346.91,152108.51,152118.51,152128.51,152138.51,152148.51,152158.51,152168.51,152178.51,152188.51,152198.51,152208.51,152218.51,152228.51,152238.51,152248.51,152258.51,152268.51,152278.51,152288.51,152298.51,152308.51,152318.51,152328.51
2026-03,2027-05,14,uncertain_connection,136.66,63.76,107.34,20.88,1.333,100.82,32.33,164778.52,371.98,164808.52,164818.52,164828.52,164838.52,164848.52,164858.52,164868.52,164878.52,164888.52,164898.52,164908.52,164918.52,164928.52,164938.52,164948.52,164958.52,164968.52,164978.52,164988.52,164998.52,165008.52,165018.52,165028.52
2026-03,2027-06,15,uncertain_connection,138.29,61.47,110.3,21.69,1.361,100.68,25.41,167334.86,382.13,167364.86,167374.86,167384.86,167394.86,167404.86,167414.86,167424.86,167434.86,167444.86,167454.86,167464.86,167474.86,167484.86,167494.86,167504.86,167514.86,167524.86,167534.86,167544.86,167554.86,167564.86,167574.86,167584.86
2026-03,2027-07,16,uncertain_connection,142.1,59.9,108.76,17.73,1.31,100.25,27.39,160955.92,370.1,160985.92,160995.92,161005.92,161015.92,161025.92,161035.92,161045.92,161055.92,161065.92,161075.92,161085.92,161095.92,161105.92,161115.92,161125.92,161135.92,161145.92,161155.92,161165.92,161175.92,161185.92,161195.92,161205.92
2026-03,2027-08,17,uncertain_connection,150.83,54.18,107.45,14.1,1.315,100.99,25.38,160732.64,364.79,160762.64,160772.64,160782.64,160792.64,160802.64,160812.64,160822.64,160832.64,160842.64,160852.64,160862.64,160872.64,160882.64,160892.64,160902.64,160912.64,160922.64,160932.64,160942.64,160952.64,160962.64,160972.64,160982.64
2026-03,2027-09,18,uncertain_connection,153.26,51.33,104.6,8.25,1.329,101.29,25.62,154402.59,363.23,154432.59,154442.59,154452.59,154462.59,154472.59,154482.59,154492.59,154502.59,154512.59,154522.59,154532.59,154542.59,154552.59,154562.59,154572.59,154582.59,154592.59,154602.59,154612.59,154622.59,154632.59,154642.59,154652.59
2026-03,2027-10,19,uncertain_connection,163.88,48.62,102.24,1.15,1.306,100.98,26.72,155746.64,362.4,155776.64,155786.64,155796.64,155806.64,155816.64,155826.64,155836.64,155846.64,155856.64,155866.64,155876.64,155886.64,155896.64,155906.64,155916.64,155926.64,155936.64,155946.64,155956.64,155966.64,155976.64,155986.64,155996.64
