forecast_cycle,forecast_period,months_ahead,scenario,feature_1_data_center_committed_mw,feature_2_grid_connection_probability_pct,feature_3_power_price_index,feature_4_avg_temperature_c,feature_5_cooling_efficiency_pue,feature_6_industrial_growth_index,feature_7_renewable_availability_pct,target_1_total_load_mwh,target_2_peak_load_mw,target_3_synthetic,target_4_synthetic,target_5_synthetic
Mar-26,Jan-27,10,uncertain_connection,123.48,44.57,101.27,-6.18,1.316,100.01,34.39,129100.41,302.3,129130.41,129140.41,129150.41
Mar-26,Feb-27,11,uncertain_connection,119.79,62.19,103.91,1.87,1.347,100.17,32.67,148264.35,333.76,148294.35,148304.35,148314.35
Mar-26,Mar-27,12,uncertain_connection,117.77,54.77,108.4,8.21,1.318,100.41,33.44,139719.01,317.96,139749.01,139759.01,139769.01
Mar-26,Apr-27,13,uncertain_connection,124.3,61.84,107.07,15.29,1.32,100.33,29.45,152078.51,346.91,152108.51,152118.51,152128.51
Mar-26,May-27,14,uncertain_connection,136.66,63.76,107.34,20.88,1.333,100.82,32.33,164778.52,371.98,164808.52,164818.52,164828.52
Mar-26,Jun-27,15,uncertain_connection,138.29,61.47,110.3,21.69,1.361,100.68,25.41,167334.86,382.13,167364.86,167374.86,167384.86
Mar-26,Jul-27,16,uncertain_connection,142.1,59.9,108.76,17.73,1.31,100.25,27.39,160955.92,370.1,160985.92,160995.92,161005.92
Mar-26,Aug-27,17,uncertain_connection,150.83,54.18,107.45,14.1,1.315,100.99,25.38,160732.64,364.79,160762.64,160772.64,160782.64
Mar-26,Sep-27,18,uncertain_connection,153.26,51.33,104.6,8.25,1.329,101.29,25.62,154402.59,363.23,154432.59,154442.59,154452.59
Mar-26,Oct-27,19,uncertain_connection,163.88,48.62,102.24,1.15,1.306,100.98,26.72,155746.64,362.4,155776.64,155786.64,155796.64
Mar-26,Nov-27,20,uncertain_connection,160.9,42.75,102.22,-4.65,1.325,101.18,30.94,144008.35,338.03,144038.35,144048.35,144058.35
Mar-26,Dec-27,21,uncertain_connection,170.96,51.93,101.19,-4.85,1.326,101.37,37.39,165047.76,380.03,165077.76,165087.76,165097.76
Mar-26,Jan-28,22,uncertain_connection,169.23,47.76,101.49,-4.29,1.31,101.23,38.38,153979.73,367.29,154009.73,154019.73,154029.73
Mar-26,Feb-28,23,uncertain_connection,173.68,60.32,99.71,2.23,1.331,102.28,37.86,179709.62,411.67,179739.62,179749.62,179759.62
