forecast_cycle,forecast_period,months_ahead,scenario,feature_1_data_center_committed_mw,feature_2_grid_connection_probability_pct,feature_3_power_price_index,feature_4_avg_temperature_c,feature_5_cooling_efficiency_pue,feature_6_industrial_growth_index,feature_7_renewable_availability_pct,target_1_total_load_mwh,target_2_peak_load_mw
2026-03,2027-01,10,uncertain_connection,123.48,44.57,101.27,-6.18,1.316,100.01,34.39,129100.41,302.3
2026-03,2027-02,11,uncertain_connection,119.79,62.19,103.91,1.87,1.347,100.17,32.67,148264.35,333.76
2026-03,2027-03,12,uncertain_connection,117.77,54.77,108.4,8.21,1.318,100.41,33.44,139719.01,317.96
2026-03,2027-04,13,uncertain_connection,124.3,61.84,107.07,15.29,1.32,100.33,29.45,152078.51,346.91
2026-03,2027-05,14,uncertain_connection,136.66,63.76,107.34,20.88,1.333,100.82,32.33,164778.52,371.98
2026-03,2027-06,15,uncertain_connection,138.29,61.47,110.3,21.69,1.361,100.68,25.41,167334.86,382.13
2026-03,2027-07,16,uncertain_connection,142.1,59.9,108.76,17.73,1.31,100.25,27.39,160955.92,370.1
2026-03,2027-08,17,uncertain_connection,150.83,54.18,107.45,14.1,1.315,100.99,25.38,160732.64,364.79
2026-03,2027-09,18,uncertain_connection,153.26,51.33,104.6,8.25,1.329,101.29,25.62,154402.59,363.23
2026-03,2027-10,19,uncertain_connection,163.88,48.62,102.24,1.15,1.306,100.98,26.72,155746.64,362.4
2026-03,2027-11,20,uncertain_connection,160.9,42.75,102.22,-4.65,1.325,101.18,30.94,144008.35,338.03
2026-03,2027-12,21,uncertain_connection,170.96,51.93,101.19,-4.85,1.326,101.37,37.39,165047.76,380.03
2026-03,2028-01,22,uncertain_connection,169.23,47.76,101.49,-4.29,1.31,101.23,38.38,153979.73,367.29
2026-03,2028-02,23,uncertain_connection,173.68,60.32,99.71,2.23,1.331,102.28,37.86,179709.62,411.67
2026-03,2028-03,24,uncertain_connection,179.2,65.52,100.0,7.56,1.323,101.51,40.0,191548.62,437.1
2026-03,2028-04,25,uncertain_connection,186.12,65.01,101.21,12.63,1.32,102.05,36.46,199190.87,459.9
2026-03,2028-05,26,accelerated_ai_load,182.23,73.35,100.53,18.66,1.331,101.18,36.1,214373.5,480.52
2026-03,2028-06,27,accelerated_ai_load,187.51,74.49,104.15,22.39,1.349,101.98,31.69,219835.06,503.29
2026-03,2028-07,28,accelerated_ai_load,204.38,72.59,106.3,18.99,1.323,102.49,29.95,225428.23,521.05
2026-03,2028-08,29,accelerated_ai_load,201.58,82.52,105.93,14.4,1.307,102.45,30.82,239707.09,530.76
2026-03,2028-09,30,accelerated_ai_load,195.33,72.68,110.82,9.17,1.32,102.25,30.18,215320.66,480.46
2026-03,2028-10,31,uncertain_connection,213.53,68.03,111.04,1.23,1.333,102.21,37.03,220225.08,502.25
2026-03,2028-11,32,uncertain_connection,218.99,70.46,111.12,-0.96,1.32,101.83,34.37,226832.7,523.06
2026-03,2028-12,33,uncertain_connection,213.67,65.23,112.92,-5.06,1.328,102.96,42.78,213107.06,495.2
2026-03,2029-01,34,uncertain_connection,223.48,70.71,110.69,-4.81,1.323,102.71,42.15,232757.55,536.18
2026-03,2029-02,35,uncertain_connection,231.06,61.3,109.44,1.48,1.315,103.23,45.04,216474.88,514.88
